Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
CMA CGM CONCORDE,Container Ship,-,-, ,14.4 m,-,8 days ago,9839208 / 228401800,FMOF,France,400 / 62 m
UTOPIA OF THE SEAS,Passenger (Cruise) Ship,,, ,9.3 m,-,41 hours ago,9880001 / 311001259,C6G19,Bahamas,362 / 66 m
EVER ALOT,Container Ship,,, ,16.7 m,-,5 days ago,9893955 / 352001259,3E4008,Panama,399 / 61 m
EVER ATOP,Container Ship,-,-, ,13.7 m,At anchor,2 min ago,9893993 / 563166100,9V7624,Singapore,399 / 62 m
EVER APEX,Container Ship,,, ,11.9 m,-,31 hours ago,9893979 / 563155500,9V7623,Singapore,399 / 62 m
EVER ARIA,Container Ship,-,-, ,11.4 m,Moored,2 min ago,9909132 / 352001747,3E2585,Panama,399 / 61 m
MSC LORETO,Container Ship,-,-, ,16.4 m,-,18 hours ago,9934735 / 636022600,5LJP2,Liberia,399 / 60 m
MSC MICHELCAPPELLINI,Container Ship,,, ,14.5 m,Under way,1 min ago,9929431 / 636022604,5LJP6,Liberia,399 / 61 m
MSC MARIELLA,Container Ship,-,-, ,12.6 m,Moored,2 min ago,9934747 / 636022920,5LLB6,Liberia,399 / 61 m
MSC IRINA,Container Ship,,, ,15.4 m,Under way,11 hours ago,9929429 / 636022601,5LJP3,Liberia,400 / 61 m
MSC TURKIYE,Container Ship,-,-, ,11.9 m,-,44 hours ago,9931288 / 636023099,5LLY3,Liberia,400 / 62 m
MSC MICOL,Container Ship,,, ,16.3 m,-,4 days ago,9931290 / 636023098,5LLY2,Liberia,400 / 61 m
MSC TESSA,Container Ship,-,-, ,12.0 m,-,12 days ago,9930038 / 636022102,5LHE8,Liberia,400 / 62 m
MSC NICOLA MASTRO,Container Ship,,, ,15.4 m,Under way,1 min ago,9930064 / 636022605,5LJP7,Liberia,399 / 61 m
MSC CELESTINOMARESCA,Container Ship,-,-, ,9.4 m,-,4 days ago,9930040 / 636022516,5LJE3,Liberia,399 / 61 m
MSC RAYA,Container Ship,,, ,13.6 m,-,7 days ago,9930052 / 636022103,5LHE9,Liberia,399 / 61 m
MSC METTE,Container Ship,-,-, ,12.1 m,Moored,1 min ago,9936630 / 636023084,5LLW4,Liberia,399 / 61 m
MSC GEMMA,Container Ship,,, ,13.2 m,Under way,2 hours ago,9936616 / 636022603,5LJP5,Liberia,399 / 61 m
MSC CHINA,Container Ship,-,-, ,15.5 m,Under way,0 min ago,9936642 / 636023087,5LLW7,Liberia,399 / 61 m
MSC CLAUDE GIRARDET,Container Ship,,, ,13.8 m,Under way,1 min ago,9936628 / 636022921,5LLB7,Liberia,399 / 61 m
WONDER OF THE SEAS,Passenger (Cruise) Ship,,, ,9.3 m,Under way,0 min ago,9838345 / 311001033,C6EY2,Bahamas,362 / 66 m
EVER ARM,Container Ship,,, ,16.7 m,-,6 days ago,9893931 / 416070000,BHJG,Taiwan,400 / 62 m
EVER ACE,Container Ship,-,-, ,13.3 m,Under way,6 hours ago,9893890 / 352986146,3E2382,Panama,400 / 62 m
EVER ART,Container Ship,-,-, ,12.4 m,Moored,0 min ago,9893943 / 416071000,BHJH,Taiwan,400 / 62 m
EVER AIM,Container Ship,,, ,15.0 m,-,32 hours ago,9893917 / 352980788,3E3532,Panama,400 / 62 m
EVER ACT,Container Ship,,, ,12.8 m,Under way,8 hours ago,9893905 / 352978199,3E2429,Panama,400 / 62 m
EVER ALP,Container Ship,,, ,16.7 m,-,3 days ago,9893929 / 352898717,3E2012,Panama,400 / 62 m
